,Sentence,Intent,Color,Item
3206,cfl,unknown,unknown,unknown
3207,wbbyuhytxovvjxhr,unknown,unknown,unknown
3208,hlmvkoiotexotbzcbjc,unknown,unknown,unknown
3209,I need to order a pantalon can i find,Making Order,unknown,pantalon
3210,tagpsigq,unknown,unknown,unknown
3211,ipiysfqrxsdp,unknown,unknown,unknown
3212,jwgtclmtqjafbizfdg,unknown,unknown,unknown
3213,kcjoknaypoppqg,unknown,unknown,unknown
3214,rlmxoy,unknown,unknown,unknown
3215,hzisxjwdjvei,unknown,unknown,unknown
3216,nqlmuychydy,unknown,unknown,unknown
3217,iigeobjvzeuyovt,unknown,unknown,unknown
3218,lmtcztsgavsckiz,unknown,unknown,unknown
3219,jwneazqv,unknown,unknown,unknown
3220,gjz,unknown,unknown,unknown
3221,hpogdnzwbkuekrzp,unknown,unknown,unknown
3222,fteglmeaeulmfcktlma,unknown,unknown,unknown
3223,srjlmznyiufwanzkwl,unknown,unknown,unknown
3224,qtlmzxsfv,unknown,unknown,unknown
3225,yfvh,unknown,unknown,unknown
3226,gbksigjoqjagzj,unknown,unknown,unknown
3227,cnogucwrgojoizvsxhw,unknown,unknown,unknown
3228,xifpqqyxiqnuqlmxk,unknown,unknown,unknown
3229,bbnfdt,unknown,unknown,unknown
3230,opduwwccxv,unknown,unknown,unknown
3231,edi,unknown,unknown,unknown
3232,wcvckvxpai,unknown,unknown,unknown
3233,fnfxnzbt,unknown,unknown,unknown
3234,sgrjtzujblmdczprs,unknown,unknown,unknown
3235,xkavuyykaofwuzijat,unknown,unknown,unknown
3236,uaflmuebcbbttaonl,unknown,unknown,unknown
3237,ovzdpysbyyrp,unknown,unknown,unknown
3238,chnfzbkjqqosyolmyy,unknown,unknown,unknown
3239,gohdcbninxaewouev,unknown,unknown,unknown
3240,uzkxlmtuuzzpbnjgnea,unknown,unknown,unknown
3241,vhixclm,unknown,unknown,unknown
3242,jd,unknown,unknown,unknown
3243,xivd,unknown,unknown,unknown
3244,I want to order a short may i ask for,Making Order,unknown,short
3245,pivcibrzgkeknhy,unknown,unknown,unknown
3246,hfwdy,unknown,unknown,unknown
3247,kzkacyqurdi,unknown,unknown,unknown
3248,rfxfvxrkdo,unknown,unknown,unknown
3249,dnzca,unknown,unknown,unknown
3250,uqg,unknown,unknown,unknown
3251,klmjngfwgg,unknown,unknown,unknown
3252,wqntlmqtdtorkwqjiqc,unknown,unknown,unknown
3253,xgpfeucdvob,unknown,unknown,unknown
3254,etsiydcpeuoey,unknown,unknown,unknown
3255,oqjhsvfvqivetgbs,unknown,unknown,unknown
3256,oxczsn,unknown,unknown,unknown
3257,qrb,unknown,unknown,unknown
3258,jyktbtcavl,unknown,unknown,unknown
3259,I need to buy a t-shirt do you have,Making Order,unknown,t-shirt
3260,ozeukbj,unknown,unknown,unknown
3261,bcnjnuztxyrv,unknown,unknown,unknown
3262,jcoccavqxcahlmujj,unknown,unknown,unknown
3263,ronsuitcwufgd,unknown,unknown,unknown
3264,svfx,unknown,unknown,unknown
3265,wdgagpzvrnzqz,unknown,unknown,unknown
3266,opyfakxvscgggksajl,unknown,unknown,unknown
3267,zjuikzuukcswugupd,unknown,unknown,unknown
3268,zaavqqg,unknown,unknown,unknown
3269,yjzbhyeyhvlm,unknown,unknown,unknown
3270,what about a brown body,Check Availability,brown,body
3271,I need to take a shoes i am looking for,Making Order,unknown,shoes
3272,xjijnnxzo,unknown,unknown,unknown
3273,lmrufudvaifsjakzlme,unknown,unknown,unknown
3274,anrlmgbztzgj,unknown,unknown,unknown
3275,fbupcrkipqrt,unknown,unknown,unknown
3276,ftewfaivfcwpj,unknown,unknown,unknown
3277,qwoghklmc,unknown,unknown,unknown
3278,ikivfavhzszokw,unknown,unknown,unknown
3279,iyqfjygwxya,unknown,unknown,unknown
3280,tdfuwzs,unknown,unknown,unknown
3281,byy,unknown,unknown,unknown
3282,tklmosywwh,unknown,unknown,unknown
3283,qnsbwjviscgf,unknown,unknown,unknown
3284,is there a gray hat,Check Availability,gray,hat
3285,some cyan skirt,Check Availability,cyan,skirt
3286,ysdncbonjhkrzdlm,unknown,unknown,unknown
3287,eyiikhksj,unknown,unknown,unknown
3288,juajvhacohhjkqke,unknown,unknown,unknown
3289,is there available a purple body,Check Availability,purple,body
3290,ewexrwqxnqivlmn,unknown,unknown,unknown
3291,i am looking for a orange t-shirt,Check Availability,orange,t-shirt
3292,tu,unknown,unknown,unknown
3293,rwlmulmwjxbie,unknown,unknown,unknown
3294,cqcope,unknown,unknown,unknown
3295,elmhxtkpgft,unknown,unknown,unknown
3296,fdonwwvcuxenxhqpq,unknown,unknown,unknown
3297,I would like to buy a skirt can i find,Making Order,unknown,skirt
3298,ixckcgatp,unknown,unknown,unknown
3299,I want to buy a hat do you have,Making Order,unknown,hat
3300,bhupsywpgsdq,unknown,unknown,unknown
3301,gyzuvnhtxokesdaa,unknown,unknown,unknown
3302,ibb,unknown,unknown,unknown
3303,qkiqkasfjtfdh,unknown,unknown,unknown
3304,ddra,unknown,unknown,unknown
3305,gdiubqlmhdpnrckhhxp,unknown,unknown,unknown
3306,ffrhu,unknown,unknown,unknown
3307,xvulmd,unknown,unknown,unknown
3308,jplmvit,unknown,unknown,unknown
3309,choosqten,unknown,unknown,unknown
3310,is there a purple chemise,Check Availability,purple,chemise
3311,wplmyrcdw,unknown,unknown,unknown
3312,I want to buy a hat do you still have,Making Order,unknown,hat
3313,qnuuzxkpwwqyxpsdh,unknown,unknown,unknown
3314,nidyboqqbhpqwwcl,unknown,unknown,unknown
3315,fityaceexkdeza,unknown,unknown,unknown
3316,rnsp,unknown,unknown,unknown
3317,is there available a orange shirt,Check Availability,orange,shirt
3318,fcoiaegbztilmlmrgae,unknown,unknown,unknown
3319,dkqpzswuufiwgq,unknown,unknown,unknown
3320,sfhgewnuseafl,unknown,unknown,unknown
3321,lmvfzrrk,unknown,unknown,unknown
3322,gupyrx,unknown,unknown,unknown
3323,dsnbntoiiftcgcaftpt,unknown,unknown,unknown
3324,do you have a yellow hat,Check Availability,yellow,hat
3325,rnqutkcuy,unknown,unknown,unknown
3326,do you have a orange pantalon,Check Availability,orange,pantalon
3327,rnafiwecrqlmdtnuhso,unknown,unknown,unknown
3328,uxxrcweykzahabixfw,unknown,unknown,unknown
3329,astxuypjxlm,unknown,unknown,unknown
3330,woyakalmcwdbdori,unknown,unknown,unknown
3331,bubpo,unknown,unknown,unknown
3332,how much does a green skirt cost,Asking for the price,green,skirt
3333,kilmts,unknown,unknown,unknown
3334,anwzslmuadgptazyj,unknown,unknown,unknown
3335,yyqquabuaqpilmeskxi,unknown,unknown,unknown
3336,swygjgayohjtgsf,unknown,unknown,unknown
3337,ibj,unknown,unknown,unknown
3338,I'd like to add a pullover do you still have,Making Order,unknown,pullover
3339,I need to add a pullover do you still have,Making Order,unknown,pullover
3340,rqhzyrwb,unknown,unknown,unknown
3341,ynrlmjusv,unknown,unknown,unknown
3342,bnglmsdddvxvcqnhg,unknown,unknown,unknown
3343,iphilmlmrujectxeb,unknown,unknown,unknown
3344,euhfovkwqfnkwwyzg,unknown,unknown,unknown
3345,sb,unknown,unknown,unknown
3346,nbt,unknown,unknown,unknown
3347,wirdftatcpc,unknown,unknown,unknown
3348,waguybpyzdaw,unknown,unknown,unknown
3349,udpjusoeqexnyhsegpu,unknown,unknown,unknown
3350,frabvicntyexew,unknown,unknown,unknown
3351,wwf,unknown,unknown,unknown
3352,I need to take a t-shirt is there available,Making Order,unknown,t-shirt
3353,kslmtfysghefhgpg,unknown,unknown,unknown
3354,is there available a olive chemise,Check Availability,olive,chemise
3355,gnl,unknown,unknown,unknown
3356,tonxdqhojwxzdpat,unknown,unknown,unknown
3357,lmrlmhs,unknown,unknown,unknown
3358,xkpbxaqhtojzuzl,unknown,unknown,unknown
3359,yzkblmvzkbjrned,unknown,unknown,unknown
3360,wtvakqo,unknown,unknown,unknown
3361,dpnbpqlmkgwenz,unknown,unknown,unknown
3362,may i ask for a white dress,Check Availability,white,dress
3363,wtyhnd,unknown,unknown,unknown
3364,vctxevedy,unknown,unknown,unknown
3365,cvehufecjbxylm,unknown,unknown,unknown
3366,oohheous,unknown,unknown,unknown
3367,autjon,unknown,unknown,unknown
3368,cyvtfzoocwwpolmlm,unknown,unknown,unknown
3369,icwfgc,unknown,unknown,unknown
3370,yotrgjrqepurebdvtuf,unknown,unknown,unknown
3371,hocnv,unknown,unknown,unknown
3372,some brown chemise,Check Availability,brown,chemise
3373,vhhd,unknown,unknown,unknown
3374,uphapty,unknown,unknown,unknown
3375,khiagggjplmqtnpzxkv,unknown,unknown,unknown
3376,I want to buy a shoes do you still have,Making Order,unknown,shoes
3377,io,unknown,unknown,unknown
3378,eif,unknown,unknown,unknown
3379,wnhab,unknown,unknown,unknown
3380,jrdiei,unknown,unknown,unknown
3381,cvavies,unknown,unknown,unknown
3382,can i find a cyan jacket,Check Availability,cyan,jacket
3383,xezwxooohzy,unknown,unknown,unknown
3384,Maria was talking,unknown,unknown,unknown
3385,tolmodixakdkwpbay,unknown,unknown,unknown
3386,I need to buy a body i am looking for,Making Order,unknown,body
3387,jhpeugzyynzyr,unknown,unknown,unknown
3388,trfewudkwhztkrqqz,unknown,unknown,unknown
3389,edyuruuhboxousbo,unknown,unknown,unknown
3390,zjlmvi,unknown,unknown,unknown
3391,irfkgc,unknown,unknown,unknown
3392,I would like to order a dress do you still have,Making Order,unknown,dress
3393,shxjtvugtpgg,unknown,unknown,unknown
3394,yqeeprgrxgkq,unknown,unknown,unknown
3395,stondxe,unknown,unknown,unknown
3396,rdxs,unknown,unknown,unknown
3397,iajqat,unknown,unknown,unknown
3398,zbdfuazlmxcc,unknown,unknown,unknown
3399,thrkussfybxlmbuxurl,unknown,unknown,unknown
3400,vysa,unknown,unknown,unknown
3401,qhzpfdzewpuetxvarh,unknown,unknown,unknown
3402,qurvph,unknown,unknown,unknown
3403,fxtznrdbfyhznszgi,unknown,unknown,unknown
3404,odolmrex,unknown,unknown,unknown
3405,hulmqlmgggar,unknown,unknown,unknown
3406,fuqnvtuwhiesntcwo,unknown,unknown,unknown
3407,nww,unknown,unknown,unknown
3408,osdrgspabo,unknown,unknown,unknown
3409,kxdubqqlmlmlmofukj,unknown,unknown,unknown
3410,qtccjzxpzvsnvhup,unknown,unknown,unknown
3411,i am looking for a green shoes,Check Availability,green,shoes
3412,tkkphhrsuqac,unknown,unknown,unknown
3413,wx,unknown,unknown,unknown
3414,faw,unknown,unknown,unknown
3415,do you still have a orange body,Check Availability,orange,body
3416,fuk,unknown,unknown,unknown
3417,iyisz,unknown,unknown,unknown
3418,ygl,unknown,unknown,unknown
3419,iot,unknown,unknown,unknown
3420,kbh,unknown,unknown,unknown
3421,cgxjcyuxiwyzsnefhvy,unknown,unknown,unknown
3422,jnyubag,unknown,unknown,unknown
3423,phtpdrfnulm,unknown,unknown,unknown
3424,vplmvrgyqnk,unknown,unknown,unknown
3425,pbvh,unknown,unknown,unknown
3426,wegbkauojdsphxn,unknown,unknown,unknown
3427,njgzkvjjwcd,unknown,unknown,unknown
3428,kbdfoipclmkd,unknown,unknown,unknown
3429,jepuji,unknown,unknown,unknown
3430,I'd like to buy a shoes do you have,Making Order,unknown,shoes
3431,gftbadgwgyfcwroepyt,unknown,unknown,unknown
3432,do you have a brown pantalon,Check Availability,brown,pantalon
3433,ecjlmqqbdtvlmu,unknown,unknown,unknown
3434,I'd like to take a pullover can i find,Making Order,unknown,pullover
3435,dhutybehrvgqey,unknown,unknown,unknown
3436,usaawhczfr,unknown,unknown,unknown
3437,bprkkbklmnog,unknown,unknown,unknown
3438,zkuwytujraxnxlmsiou,unknown,unknown,unknown
3439,ok,unknown,unknown,unknown
3440,qhakztckcswazcvjsj,unknown,unknown,unknown
3441,I need to add a is there available,Making Order,unknown,unknown
3442,ynxf,unknown,unknown,unknown
3443,daettfkhjxwtktcta,unknown,unknown,unknown
3444,nuudgunhqvkvfuwnbxc,unknown,unknown,unknown
3445,ikbqxnkzcwwk,unknown,unknown,unknown
3446,sxurbqxbvhygjs,unknown,unknown,unknown
3447,tqx,unknown,unknown,unknown
3448,hfpswg,unknown,unknown,unknown
3449,fr,unknown,unknown,unknown
3450,inusdognwotg,unknown,unknown,unknown
3451,nrpi,unknown,unknown,unknown
3452,ptvuqszncbrvolmwdbb,unknown,unknown,unknown
3453,glmfg,unknown,unknown,unknown
3454,pwyrtqzopgzybqg,unknown,unknown,unknown
3455,srdujigdeaiazbh,unknown,unknown,unknown
3456,elmlmfwhlmn,unknown,unknown,unknown
3457,I would like to add a pullover do you have,Making Order,unknown,pullover
3458,npkridxatnwzynrg,unknown,unknown,unknown
3459,itzcaisb,unknown,unknown,unknown
3460,ojaeznubyjk,unknown,unknown,unknown
3461,ccory,unknown,unknown,unknown
3462,lmlmhoagen,unknown,unknown,unknown
3463,ebbrcnntwktbo,unknown,unknown,unknown
3464,unegtf,unknown,unknown,unknown
3465,I need to buy a pullover do you still have,Making Order,unknown,pullover
3466,jiatg,unknown,unknown,unknown
3467,jplmacowuqsetrkn,unknown,unknown,unknown
3468,yeowkkcckz,unknown,unknown,unknown
3469,vwlm,unknown,unknown,unknown
3470,nibsuwyzyyoafdvk,unknown,unknown,unknown
3471,rcflmvxnwgnoo,unknown,unknown,unknown
3472,otwxb,unknown,unknown,unknown
3473,can i find a red shoes,Check Availability,red,shoes
3474,yxuvzobilmlmv,unknown,unknown,unknown
3475,I'd like to buy a hat do you have,Making Order,unknown,hat
3476,rparaxrzlmlmx,unknown,unknown,unknown
3477,dp,unknown,unknown,unknown
3478,I would like to add a hat is there,Making Order,unknown,hat
3479,uxggzzqcqdzrpbl,unknown,unknown,unknown
3480,delmbg,unknown,unknown,unknown
3481,qspyr,unknown,unknown,unknown
3482,nizcel,unknown,unknown,unknown
3483,dpdsuertkprzttzctlm,unknown,unknown,unknown
3484,krjproplmqhfsqjlmg,unknown,unknown,unknown
3485,bpyhkqtoa,unknown,unknown,unknown
3486,iocn,unknown,unknown,unknown
3487,ebosiul,unknown,unknown,unknown
3488,nwnhlmhvblmzax,unknown,unknown,unknown
3489,I want to take a jeans do you have,Making Order,unknown,jeans
3490,rhfe,unknown,unknown,unknown
3491,rnxnhxtznkzdygsk,unknown,unknown,unknown
3492,bki,unknown,unknown,unknown
3493,ynbpirsxfnfyqu,unknown,unknown,unknown
3494,wtpdekva,unknown,unknown,unknown
3495,eopczytfkbyxfpge,unknown,unknown,unknown
3496,dyfcsj,unknown,unknown,unknown
3497,tphqkejaubeklmpik,unknown,unknown,unknown
3498,do you still have a brown pullover,Check Availability,brown,pullover
3499,hbqwlmxzybppyaach,unknown,unknown,unknown
3500,klms,unknown,unknown,unknown
3501,glmkbdwisagbhkf,unknown,unknown,unknown
3502,ztotpsodniqb,unknown,unknown,unknown
3503,uhtlmtnhostdpdjjgr,unknown,unknown,unknown
3504,ajxcwyhnvpnu,unknown,unknown,unknown
3505,rwrwdbxiwswi,unknown,unknown,unknown
3506,iusznreab,unknown,unknown,unknown
3507,xerpuv,unknown,unknown,unknown
3508,zviplm,unknown,unknown,unknown
3509,oooxft,unknown,unknown,unknown
3510,lmcz,unknown,unknown,unknown
3511,opifoi,unknown,unknown,unknown
3512,kkslm,unknown,unknown,unknown
3513,pbscoawwizdebcrbe,unknown,unknown,unknown
3514,serjjsphobq,unknown,unknown,unknown
3515,fiflmpd,unknown,unknown,unknown
3516,sefx,unknown,unknown,unknown
3517,yxzqxofeetbaf,unknown,unknown,unknown
3518,cnbqxu,unknown,unknown,unknown
3519,dqzvbx,unknown,unknown,unknown
3520,is the black pantalon expensive ?,Check Availability,black,pantalon
3521,ebsagol,unknown,unknown,unknown
3522,qruahpzyxn,unknown,unknown,unknown
3523,I would like to add a pantalon can i find,Making Order,unknown,pantalon
3524,jjjjorzvj,unknown,unknown,unknown
3525,xtwiaordex,unknown,unknown,unknown
3526,kcefrzzuv,unknown,unknown,unknown
3527,bwxuy,unknown,unknown,unknown
3528,gkpptohyrpscrq,unknown,unknown,unknown
3529,zgdodjxynnvyf,unknown,unknown,unknown
3530,xsnkdqjzt,unknown,unknown,unknown
3531,what is the price of a orange short,Asking for the price,orange,short
3532,wnjidlm,unknown,unknown,unknown
3533,wfuotilmsneirsyd,unknown,unknown,unknown
3534,lmrbnfsce,unknown,unknown,unknown
3535,urdnfg,unknown,unknown,unknown
3536,wfl,unknown,unknown,unknown
3537,srfhhbnsdfjjtqvxq,unknown,unknown,unknown
3538,ggipfwlmkcqhkitgev,unknown,unknown,unknown
3539,ryqbx,unknown,unknown,unknown
3540,lmuzvoharqagvfvzcr,unknown,unknown,unknown
3541,dndjlm,unknown,unknown,unknown
3542,uourqdzukeujp,unknown,unknown,unknown
3543,xqzkwwvlmrhrsvrd,unknown,unknown,unknown
3544,ouqvfeuvgserj,unknown,unknown,unknown
3545,jhuiibehrutvdlmw,unknown,unknown,unknown
3546,hbxxozb,unknown,unknown,unknown
3547,do you still have a red dress,Check Availability,red,dress
3548,olmcw,unknown,unknown,unknown
3549,vcftvde,unknown,unknown,unknown
3550,vaktcb,unknown,unknown,unknown
3551,dqdfinlmdfqkcxzu,unknown,unknown,unknown
3552,avtodqxcntdbr,unknown,unknown,unknown
3553,utxs,unknown,unknown,unknown
3554,fqbfrepchdckdhpo,unknown,unknown,unknown
3555,ghcgs,unknown,unknown,unknown
3556,kphternbpuckblm,unknown,unknown,unknown
3557,qqtt,unknown,unknown,unknown
3558,hhtiwrlmsfntcxi,unknown,unknown,unknown
3559,vcdjueohdpcfaqtr,unknown,unknown,unknown
3560,skwoedhkjtgc,unknown,unknown,unknown
3561,gjjhxlmsg,unknown,unknown,unknown
3562,riuiruevtnvcyxcl,unknown,unknown,unknown
3563,may i ask for a cyan shoes,Check Availability,cyan,shoes
3564,fvp,unknown,unknown,unknown
3565,They are walking,unknown,unknown,unknown
3566,osxehvf,unknown,unknown,unknown
3567,sxhndra,unknown,unknown,unknown
3568,kqbyhlmts,unknown,unknown,unknown
3569,cyndainhbbuq,unknown,unknown,unknown
3570,rqyddwhaowgwzkjws,unknown,unknown,unknown
3571,wnrpcs,unknown,unknown,unknown
3572,kqdkckd,unknown,unknown,unknown
3573,edhckyxuy,unknown,unknown,unknown
3574,bfslmqe,unknown,unknown,unknown
3575,vhrh,unknown,unknown,unknown
3576,aevxukvkvxejw,unknown,unknown,unknown
3577,i am looking for a purple pullover,Check Availability,purple,pullover
3578,aphnjwah,unknown,unknown,unknown
3579,pfednyefaebwk,unknown,unknown,unknown
3580,is the pink skirt expensive ?,Check Availability,pink,skirt
3581,I would like to order a jacket do you have,Making Order,unknown,jacket
3582,uaybokavunoeebjdnfg,unknown,unknown,unknown
3583,uwblmkqybetfq,unknown,unknown,unknown
3584,qkl,unknown,unknown,unknown
3585,xenzbssrtrosaqqh,unknown,unknown,unknown
3586,do you have a green shirt,Check Availability,green,shirt
3587,how much does a green jeans cost,Asking for the price,green,jeans
3588,is there available a yellow hat,Check Availability,yellow,hat
3589,is there a cyan shoes,Check Availability,cyan,shoes
3590,do you still have a red jeans,Check Availability,red,jeans
3591,lm,unknown,unknown,unknown
3592,cdfxvgfjhwxzngjnnlm,unknown,unknown,unknown
3593,twoubuvnyv,unknown,unknown,unknown
3594,rtalmpkijfazbjpzixx,unknown,unknown,unknown
3595,psnrlmbqnndkb,unknown,unknown,unknown
3596,ckgnyadyquzy,unknown,unknown,unknown
3597,kjn,unknown,unknown,unknown
3598,rvlmjfalm,unknown,unknown,unknown
3599,gkjlmhwnnfww,unknown,unknown,unknown
3600,ytrh,unknown,unknown,unknown
3601,dqsvvzjcxfo,unknown,unknown,unknown
3602,ezzkwkovgbwdo,unknown,unknown,unknown
3603,ieyuzxjdtplmquyyvfh,unknown,unknown,unknown
3604,cgsxqibaiie,unknown,unknown,unknown
3605,zkgbgxlmotefbrzbtpa,unknown,unknown,unknown
3606,vlmkrkvsooubcgqk,unknown,unknown,unknown
3607,xfhytbaficabukfajc,unknown,unknown,unknown
3608,ngfen,unknown,unknown,unknown
3609,ecxktgnksybdcfxvwz,unknown,unknown,unknown
3610,cujyn,unknown,unknown,unknown
3611,zncttupk,unknown,unknown,unknown
3612,ajdhlmietikbiu,unknown,unknown,unknown
3613,I need to order a pullover is there available,Making Order,unknown,pullover
3614,hrnwoyodewsdnqxqrj,unknown,unknown,unknown
3615,eokchskcndlm,unknown,unknown,unknown
3616,bi,unknown,unknown,unknown
3617,qvv,unknown,unknown,unknown
3618,sgjjcapxuq,unknown,unknown,unknown
3619,sseervzopeic,unknown,unknown,unknown
3620,what about the black hat,Check Availability,black,hat
3621,bqwosgdxhhctpy,unknown,unknown,unknown
3622,hzjfxunpgpcsuuvsu,unknown,unknown,unknown
3623,ywtjqagukdxkei,unknown,unknown,unknown
3624,rjnlmzfgjxfj,unknown,unknown,unknown
3625,guuufai,unknown,unknown,unknown
3626,pwwdvtztdqbj,unknown,unknown,unknown
3627,pafzlmiqtnifuokc,unknown,unknown,unknown
3628,zapeoppjeyafeira,unknown,unknown,unknown
3629,ntycxfubrlmttb,unknown,unknown,unknown
3630,cod,unknown,unknown,unknown
3631,tgpjadklmqibq,unknown,unknown,unknown
3632,i am looking for a blue dress,Check Availability,blue,dress
3633,cgzxzitipyosticthxe,unknown,unknown,unknown
3634,okqaeetyshfsuavaskv,unknown,unknown,unknown
3635,what about the white skirt,Check Availability,white,skirt
3636,xxkvvd,unknown,unknown,unknown
3637,ujcijjqsywzotsdeoee,unknown,unknown,unknown
3638,xalmj,unknown,unknown,unknown
3639,vbwasfujfsg,unknown,unknown,unknown
3640,vuakpeyhw,unknown,unknown,unknown
3641,jbqajf,unknown,unknown,unknown
3642,wsejbxrtzqblmdunde,unknown,unknown,unknown
3643,vtervddzxiyuxipcas,unknown,unknown,unknown
3644,xcbhggvnqvsurhjtenf,unknown,unknown,unknown
3645,rahqzdndqifupabi,unknown,unknown,unknown
3646,hvct,unknown,unknown,unknown
3647,bjdnvigxlm,unknown,unknown,unknown
3648,etyfuvd,unknown,unknown,unknown
3649,fnnewyclmxdtjzuv,unknown,unknown,unknown
3650,Sara is speaking,unknown,unknown,unknown
3651,I'd like to take a dress do you have,Making Order,unknown,dress
3652,ysuakoijzjdygv,unknown,unknown,unknown
3653,schq,unknown,unknown,unknown
3654,I would like to buy a jeans do you have,Making Order,unknown,jeans
3655,ywxrtatgctrf,unknown,unknown,unknown
3656,fdnjd,unknown,unknown,unknown
3657,bwttcjpndiptgfl,unknown,unknown,unknown
3658,nertechdjnqb,unknown,unknown,unknown
3659,sxruwlmlm,unknown,unknown,unknown
3660,sdjgnfabhhktlmvb,unknown,unknown,unknown
3661,lmuvcuhbwkrcj,unknown,unknown,unknown
3662,oblmgkugs,unknown,unknown,unknown
3663,ilmbzthxqkurjgi,unknown,unknown,unknown
3664,bplmdcnnezxope,unknown,unknown,unknown
3665,wjwspvxp,unknown,unknown,unknown
3666,I'd like to order a shirt do you have,Making Order,unknown,shirt
3667,nefcjduzftgbxtlme,unknown,unknown,unknown
3668,dtpc,unknown,unknown,unknown
3669,i am looking for a black dress,Check Availability,black,dress
3670,dgdu,unknown,unknown,unknown
3671,lmrppfnjvvpfoksyl,unknown,unknown,unknown
3672,vdkhcwujcaeebxz,unknown,unknown,unknown
3673,ogcccacht,unknown,unknown,unknown
3674,hlmlmlmpyioxhvhhx,unknown,unknown,unknown
3675,bkqhrf,unknown,unknown,unknown
3676,oylmcc,unknown,unknown,unknown
3677,uyoqzzowecl,unknown,unknown,unknown
3678,hjoccsdjbiakdcnwbv,unknown,unknown,unknown
3679,pjcuqpjfznueku,unknown,unknown,unknown
3680,how much does a purple pantalon cost,Asking for the price,purple,pantalon
3681,sbkjfek,unknown,unknown,unknown
3682,uycwexxtaoxxu,unknown,unknown,unknown
3683,sxdvccab,unknown,unknown,unknown
3684,tvk,unknown,unknown,unknown
3685,bgrfksnkpvqvuzucs,unknown,unknown,unknown
3686,tzaaethgbesdz,unknown,unknown,unknown
3687,yawcvienggn,unknown,unknown,unknown
3688,glmruntwiurcnnib,unknown,unknown,unknown
3689,jlmkvdcwssn,unknown,unknown,unknown
3690,ocyozuwhvgv,unknown,unknown,unknown
3691,efohslmvfzaklmthy,unknown,unknown,unknown
3692,qo,unknown,unknown,unknown
3693,vgrixca,unknown,unknown,unknown
3694,gucaghkhhkuf,unknown,unknown,unknown
3695,yhps,unknown,unknown,unknown
3696,zkpkgf,unknown,unknown,unknown
3697,wrnaburtfz,unknown,unknown,unknown
3698,gcarviqsageckfzeib,unknown,unknown,unknown
3699,blmz,unknown,unknown,unknown
3700,kpuohwukjs,unknown,unknown,unknown
3701,some black shirt,Check Availability,black,shirt
3702,He was playing a game,unknown,unknown,unknown
3703,do you have a shirt,unknown,unknown,shirt
3704,zdggwag,unknown,unknown,unknown
3705,guisyhc,unknown,unknown,unknown
3706,chx,unknown,unknown,unknown
3707,uudveturd,unknown,unknown,unknown
3708,gfpwgunndrcpy,unknown,unknown,unknown
3709,xd,unknown,unknown,unknown
3710,rkpviojxikhut,unknown,unknown,unknown
3711,dnlmlm,unknown,unknown,unknown
3712,John is talking,unknown,unknown,unknown
3713,xcbfxkkcnsiqj,unknown,unknown,unknown
3714,dlmgxe,unknown,unknown,unknown
3715,tabf,unknown,unknown,unknown
3716,ihbutgpj,unknown,unknown,unknown
3717,bfnxwhvagz,unknown,unknown,unknown
3718,jgkiyii,unknown,unknown,unknown
3719,vvwl,unknown,unknown,unknown
3720,xycojbu,unknown,unknown,unknown
3721,what is the price of a brown shirt,Asking for the price,brown,shirt
3722,ilmkfvjrvvytezxdn,unknown,unknown,unknown
3723,zwnkzy,unknown,unknown,unknown
3724,may i ask for a cyan shirt,Check Availability,cyan,shirt
3725,rdrueh,unknown,unknown,unknown
3726,fipezlmic,unknown,unknown,unknown
3727,beoo,unknown,unknown,unknown
3728,ydugb,unknown,unknown,unknown
3729,awivy,unknown,unknown,unknown
3730,uqyk,unknown,unknown,unknown
3731,djpvg,unknown,unknown,unknown
3732,oawofekkunbjct,unknown,unknown,unknown
3733,yxnnutw,unknown,unknown,unknown
3734,ceehnqboysgpenqt,unknown,unknown,unknown
3735,gjvo,unknown,unknown,unknown
3736,uknxe,unknown,unknown,unknown
3737,aobzvhxtrfwuhzrl,unknown,unknown,unknown
3738,qbibzfgucyiztfdrjzb,unknown,unknown,unknown
3739,lmfysyxgbzn,unknown,unknown,unknown
3740,ibgnvqcph,unknown,unknown,unknown
3741,ooayovpuazfqv,unknown,unknown,unknown
3742,pgspp,unknown,unknown,unknown
3743,id,unknown,unknown,unknown
3744,efjyquflm,unknown,unknown,unknown
3745,I need to take a body i am looking for,Making Order,unknown,body
3746,what about olive dress,Check Availability,olive,dress
3747,rpgknfrdukneg,unknown,unknown,unknown
3748,euehooex,unknown,unknown,unknown
3749,what about pink t-shirt,Check Availability,pink,t-shirt
3750,I want to buy a pullover can i find,Making Order,unknown,pullover
3751,sbshebezutgighpabww,unknown,unknown,unknown
3752,I need to add a t-shirt do you have,Making Order,unknown,t-shirt
3753,uaopt,unknown,unknown,unknown
3754,rqlmlmvihxhc,unknown,unknown,unknown
3755,crerptfk,unknown,unknown,unknown
3756,ilmtzctozowrdcninwi,unknown,unknown,unknown
3757,pkyuqzssdn,unknown,unknown,unknown
3758,bvuev,unknown,unknown,unknown
3759,lmoknxkpgfvveje,unknown,unknown,unknown
3760,how much does a yellow shirt cost,Asking for the price,yellow,shirt
3761,lmpsjfarskni,unknown,unknown,unknown
3762,iaccrfurtxepdajvwao,unknown,unknown,unknown
3763,dwvoiwkejbexxharrs,unknown,unknown,unknown
3764,owbdphfjsxju,unknown,unknown,unknown
3765,khgxl,unknown,unknown,unknown
